TI,AU,DO,YR,Title Screen,Abstract Screen,Data Screen,Data Extracted
hiv-1 variation before seroconversion in men who have sex with men: analysis of acute/early hiv infection in the multicenter aids cohort study,Gottlieb GS,10.1086/529206,2008,1,1,1,1
identification and characterization of transmitted and early founder virus envelopes in primary hiv-1 infection,Keele BF,10.1073/pnas.0802203105,2008,1,1,1,1
the molecular epidemiology of hiv-1 envelope diversity during hiv-1 subtype c vertical transmission in malawian mother-infant pairs,Kwiek JJ,10.1097/QAD.0b013e3282f51ea0,2008,1,1,1,1
deciphering human immunodeficiency virus type 1 transmission and early envelope diversification by single-genome amplification and sequencing,Salazar-Gonzalez JF,10.1128/JVI.02660-07,2008,1,1,1,1
quantitating the multiplicity of infection with human immunodeficiency virus type 1 subtype c reveals a non-poisson distribution of transmitted variants,Abrahams MR,10.1128/JVI.02132-08,2009,1,1,1,1
inflammatory genital infections mitigate a severe genetic bottleneck in heterosexual transmission of subtype a and c hiv-1,Haaland RE,10.1371/journal.ppat.1000274,2009,1,1,1,1
human immunodeficiency virus type 1 population genetics and adaptation in newly infected individuals,Kearney M,10.1128/JVI.01960-08,2009,1,1,1,1
evolution of proviral gp120 over the first year of hiv-1 subtype c infection,Novitsky V,10.1016/j.virol.2008.09.017,2009,1,1,1,1
"genetic identity, biological phenotype, and evolutionary pathways of transmitted/founder viruses in acute and early hiv-1 infection",Salazar-Gonzalez JF,10.1084/jem.20090378,2009,1,1,1,1
wide variation in the multiplicity of hiv-1 infection among injection drug users,Bar KJ,10.1128/JVI.00077-10,2010,1,1,1,1
transmission of single hiv-1 genomes and dynamics of early immune escape revealed by ultra-deep sequencing,Fischer W,10.1371/journal.pone.0012303,2010,1,1,1,1
high multiplicity infection by hiv-1 in men who have sex with men,Li H,10.1371/journal.ppat.1000890,2010,1,1,1,1
"a substantial transmission bottleneck among newly and recently hiv-1-infected injection drug users in st petersburg, russia",Masharsky AE,10.1086/652702,2010,1,1,1,1
restricted genetic diversity of hiv-1 subtype c envelope glycoprotein from perinatally infected zambian infants,Zhang H,10.1371/journal.pone.0009294,2010,1,1,1,1
role of donor genital tract hiv-1 diversity in the transmission bottleneck,Boeras DI,10.1073/pnas.1103764108,2011,1,1,1,1
significantly longer envelope v2 loops are characteristic of heterosexually transmitted subtype b hiv-1 in trinidad,Collins-Fairclough AM,10.1371/journal.pone.0019995,2011,1,1,1,1
demographic processes affect hiv-1 evolution in primary infection before the onset of selective processes,Herbeck JT,10.1128/JVI.02697-10,2011,1,1,1,1
genotypic and functional properties of early infant hiv-1 envelopes,Kishko M,10.1186/1742-4690-8-67,2011,1,1,1,1
defining the human immunodeficiency virus type 1 transmission genetic bottleneck in a region with multiple circulating subtypes and recombinant forms,Nofemela A,10.1016/j.virol.2010.12.027,2011,1,1,1,1
transmission of single and multiple viral variants in primary hiv-1 subtype c infection,Novitsky V,10.1371/journal.pone.0016714,2011,1,1,1,1
characterization of human immunodeficiency virus type 1 (hiv-1) diversity and tropism in 145 patients with primary hiv-1 infection,Rieder P,10.1093/cid/cir725,2011,1,1,1,1
genetic impact of vaccination on breakthrough hiv-1 sequences from the step trial,Rolland M,10.1038/nm.2316,2011,1,1,1,1
whole genome deep sequencing of hiv-1 reveals the impact of early minor variants upon immune recognition during acute infection,Henn MR,10.1371/journal.ppat.1002529,2012,1,1,1,1
hiv-1 subtypes and recombinants in northern tanzania: distribution of viral quasispecies,Kiwelu IE,10.1371/journal.pone.0047605,2012,1,1,1,1
"viral diversity and diversification of major non-structural genes vif, vpr, vpu, tat exon 1 and rev exon 1 during primary hiv-1 subtype c infection",Rossenkhan R,10.1371/journal.pone.0035491,2012,1,1,1,1
central nervous system compartmentalization of hiv-1 subtype c variants early and late in infection in young children,Sturdevant CB,10.1371/journal.ppat.1003094,2012,1,1,1,1
"molecular identification, cloning and characterization of transmitted/founder hiv-1 subtype a, d and a/d infectious molecular clones",Baalwa J,10.1016/j.virol.2012.10.009,2013,1,1,1,1
sexually-transmitted/founder hiv-1 cannot be directly predicted from plasma or pbmc-derived viral quasispecies in the transmitting partner,Frange P,10.1371/journal.pone.0069144,2013,1,1,1,1
low multiplicity of hiv-1 infection and no vaccine enhancement in vax003 injection drug users,Sterrett S,10.1093/ofid/ofu056,2014,1,1,1,1
comprehensive characterization of the transmitted/founder env genes from a single msm cohort in china,Chen Y,10.1097/QAI.0000000000000649,2015,1,1,1,1
heterosexual transmission of subtype c hiv-1 selects consensus-like variants without increased replicative capacity or interferon-alpha resistance,Deymier MJ,10.1371/journal.ppat.1005154,2015,1,1,1,1
high frequency of transmitted hiv-1 gag hla class i-driven immune escape variants but minimal immune selection over the first year of clade c infection,Gounder K,10.1371/journal.pone.0119886,2015,1,1,1,1
hiv-1 infections with multiple founders are associated with higher viral loads than infections with single founders,Janes H,10.1038/nm.3932,2015,1,1,1,1
differential evolution of a cxcr4-using hiv-1 strain in ccr5wt/wt and ccr532/32 hosts revealed by longitudinal deep sequencing and phylogenetic reconstruction,Le AQ,10.1038/srep17607,2015,1,1,1,1
population genomics of intrapatient hiv-1 evolution,Zanini F,10.7554/eLife.11282,2015,1,1,1,1
characterizing the multiplicity of hiv founder variants during sexual transmission among msm,Chaillon A,10.1093/ve/vew012,2016,1,1,1,1
spmm: estimating infection duration of multivariant hiv-1 infections,Love TM,10.1093/bioinformatics/btv749,2016,1,1,1,1
deciphering multiplicity of hiv-1c infection: transmission of closely related multiple viral lineages,Novitsky V,10.1371/journal.pone.0166746,2016,1,1,1,1
tracing hiv-1 transmission: envelope traits of hiv-1 transmitter and recipient pairs,Oberle CS,10.1186/s12977-016-0299-0,2016,1,1,1,1
enhancement of viral escape in hiv-1 nef by step vaccination,Park SY,10.1097/QAD.0000000000001202 ,2016,1,1,1,1
use of dried blood spots to elucidate full-length transmitted/founder hiv-1 genomes,Salazar-Gonzalez JF,10.20411/pai.v1i1.116,2016,1,1,1,1
transmission of multiple hiv-1 subtype c transmitted/founder viruses into the same recipients was not determined by modest phenotypic differences,Song H,10.1038/srep38130,2016,1,1,1,1
sieve analysis of breakthrough hiv-1 sequences in hvtn 505 identifies vaccine pressure targeting the cd4 binding site of env-gp120,deCamp AC,10.1371/journal.pone.0185959,2017,1,1,1,1
resistance to type 1 interferons is a major determinant of hiv-1 transmission fitness,Iyer SS,10.1073/pnas.1620144114,2017,1,1,1,1
rare hiv-1 transmitted/founder lineages identified by deep viral sequencing contribute to rapid shifts in dominant quasispecies during acute and early infection,Kijak GH,10.1371/journal.ppat.1006510,2017,1,1,1,1
unique phenotypic characteristics of recently transmitted hiv-1 subtype c envelope glycoprotein gp120: use of cxcr6 coreceptor by transmitted founder viruses,Ashokkumar M,10.1128/JVI.00063-18,2018,1,1,1,1
characterization of the transmitted virus in an ongoing hiv-1 epidemic driven by injecting drug use,Dukhovlinova E,10.1089/AID.2017.0313,2018,1,1,1,1
tracking hiv-1 recombination to resolve its contribution to hiv-1 evolution in natural infection,Song H,10.1038/s41467-018-04217-5,2018,1,1,1,1
"phylogenetic analysis of human immunodeficiency virus from people who inject drugs in indonesia, ukraine, and vietnam: hptn 074",Sivay MV,10.1093/cid/ciz1081,2019,1,1,1,1
caution is needed in interpreting hiv transmission chains by ultradeep sequencing,Todesco E,10.1097/QAD.0000000000002105,2019,1,1,1,1
deep sequencing reveals central nervous system compartmentalization in multiple transmitted/founder virus acute hiv-1 infection,Tovanabutra S,10.3390/cells8080902,2019,1,1,1,1
hiv-1 variants are archived throughout infection and persist in the reservoir,Brooks K,10.1371/journal.ppat.1008378,2020,1,1,1,1
the genetic diversity of hiv-1 quasispecies within primary infected individuals,Liu Y,10.1089/AID.2019.0242,2020,1,1,1,1
evidence for coinfection by multiple strains of human immunodeficiency virus type 1 subtype b in an acute seroconvertor,Zhu T,10.1128/JVI.69.2.1324-1327.1995,1995,1,1,1,
genetic analysis of human immunodeficiency virus type 1 envelope v3 region isolates from mothers and infants after perinatal transmission,Ahmad N,10.1128/JVI.69.2.1001-1012.1995,1995,1,1,1,
the selection and evolution of viral quasispecies in hiv-1 infected children,Nowak P,10.1046/j.1464-2662.2001.00097.x,2002,1,1,1,
heterosexual transmission of multiple highly conserved viral variants in hiv-1 subtype c-infected seronegative women,Rademeyer C,10.1097/00002030-200410210-00019,2004,1,1,1,
"time-measured phylogenies of gag, pol and env sequence data reveal the direction and time interval of hiv-1 transmission",Rachinger A,10.1097/QAD.0b013e3283467020,2011,1,1,1,
hiv-1 dual infection is associated with faster cd4+ t-cell decline in a cohort of men with primary hiv infection,Cornelissen M,10.1093/cid/cir849,2012,1,1,1,
estimating the timing of mother-to-child transmission of the human immunodeficiency virus type 1 using a viral molecular evolution model,Chaillon A,10.1371/journal.pone.0090421,2014,1,1,1,
homogenous hiv-1 subtype b quasispecies in brazilian men and women recently infected via heterosexual transmission,Gouveia NL,10.1007/s11262-014-1048-x,2014,1,1,1,
incidence and prevalence of intrasubtype hiv-1 dual infection in at-risk men in the united states,Wagner,10.1093/infdis/jit633,2014,1,1,1,
evidence of long-lived founder virus in mother-to-child hiv transmission,Danaviah S,10.1371/journal.pone.0120389,2015,1,1,1,
comparison of major and minor viral snps identified through single template sequencing and pyrosequencing in acute hiv-1 infection,Iyer S,10.1371/journal.pone.0135903,2015,1,1,1,
"diversification in the hiv-1 envelope hyper-variable domains v2, v4, and v5 and higher probability of transmitted/founder envelope glycosylation favor the development of heterologous neutralization breadth",Smith SA,10.1371/journal.ppat.1005989,2016,1,1,1,
differences in the selection bottleneck between modes of sexual transmission influence the genetic composition of the hiv-1 founder virus,Tully DC,10.1371/journal.ppat.1005619,2016,1,1,1,
phylogenetic patterns recover known hiv epidemiological relationships and reveal common transmission of multiple variants,Leitner T,10.1038/s41564-018-0204-9,2018,1,1,1,
a non-parametric analytic framework for within-host viral phylogenies and a test for hiv-1 founder multiplicity,Lewitus E,10.1093/ve/vez044,2019,1,1,1,
hiv-1 genetic diversity and divergence and its correlation with disease progression among antiretroviral naive recently infected individuals,Leda AR,10.1016/j.virol.2019.11.006,2020,1,1,1,
triple hiv-1 infection is associated with faster cd4+ t-cell decline,Zhang Y,10.3389/fmicb.2020.00021,2020,1,1,1,
"infection with multiple hiv-1 founder variants is associated with lower viral replicative capacity, faster cd4+ t cell decline and increased immune activation during acute infection",Macharia GN,10.1371/journal.ppat.1008853,2020,1,1,1,
"maternal broadly neutralizing antibodies can select for neutralization-resistant, infant-transmitted/founder hiv variants",Martinez DR,10.1128/mBio.00176-20,2020,1,1,1,
molecular dating and viral load growth rates suggested that the eclipse phase lasted about a week in hiv-1 infected adults in east africa and thailand,Rolland M,10.1371/journal.ppat.1008179,2020,1,1,1,
number of hiv-1 founder variants is determined by the recency of the source partner infection,Villabona-Arenas CJ,10.1126/science.aba5443,2020,1,1,1,
deep-profiling identifies selection of non-synonymous amino acid substitutions in hiv-1 envelope during early infection,Ashokkumar M,10.1089/AID.2020.0143,2020,1,1,*,
genetic analyses of hiv-1 strains transmitted from mother to child in northern vietnam,Phan CT,10.1089/AID.2014.0335,2015,1,1,*,
"molecular epidemiology of early and acute hiv type 1 infections in the united states navy and marine corps, 2005-2010",Heipertz RA Jr,10.1089/AID.2013.0087,2013,1,1,*,
a gp41-based heteroduplex mobility assay provides rapid and accurate assessment of intrasubtype epidemiological linkage in hiv type 1 heterosexual transmission pairs,Manigart O,10.1089/AID.2012.0023,2012,1,1,*,
molecular epidemiological analysis of paired pol/env sequences from portuguese hiv type 1 patients,Abecasis AB,10.1089/aid.2010.0312,2011,1,1,*,
phylogenetic analysis of full-length pol gene from korean hemophiliacs and plasma donors infected with korean subclade b of hiv type 1,Cho YK,10.1089/AID.2010.0174,2011,1,1,*,
"molecular epidemiological analysis of env and pol sequences in newly diagnosed hiv type 1-infected, untreated patients in hungary",Mezei M,10.1089/AID.2011.0077,2011,1,1,*,
detection of a rare hiv type 1 strain crf16-a2d in bangladesh,Safiullah Sarker M,10.1089/aid.2010.0209,2011,1,1,*,
diversity of hiv type 1 long terminal repeat (ltr) sequences following mother-to-child transmission in north india,Neogi U,10.1089/aid.2010.0128,2010,1,1,*,
comparison of bayesian and maximum-likelihood phylogenetic approaches in two legal cases involving accusations of transmission of hiv,Kaye M,10.1089/aid.2008.0306,2009,1,1,*,
genetic characterization of hiv type 1 long terminal repeat following vertical transmission,Mehta R,10.1089/aid.2007.0234,2008,1,1,*,
utility of the heteroduplex assay (hda) as a simple and cost-effective tool for the identification of hiv type 1 dual infections in resource-limited settings,Powell RLR,10.1089/aid.2007.0162,2008,1,1,*,
cloning and characterization of functional subtype a hiv1-1 envelope variants transmitted through breastfeeding,Rainwater SMJ,10.2174/157016207780076986,2007,1,1,*,
identification of hiv type 1 group n infections in a husband and wife in cameroon: viral genome sequences provide evidence for horizontal transmission,Yamaguchi J,10.1089/aid.2006.22.83,2006,1,1,*,
epidemiological and molecular evidence of two events of father-to-child hiv type 1 horizontal transmission,Ceballos A,10.1089/0889222041725154,2004,1,1,*,
dual hiv-1 infection associated with rapid disease progression,Gottlieb GS,10.1016/S0140-6736(04)15596-7,2004,1,1,*,
hiv-1 superinfections in a cohort of commercial sex workers in burkina faso as assessed by an autologous heteroduplex mobility procedure,Manigart O,10.1097/01.aids.0000131333.30548.db,2004,1,1,*,
"hiv type 1 variants transmitted to women in kenya require the ccr5 coreceptor for entry, regardless of the genetic complexity of the infecting virus",Long EM,10.1089/088922202753747914,2002,1,1,*,
characterization of hiv type 1 tat sequences associated with perinatal transmission,Husain M,10.1089/088922201750237040,2001,1,1,*,
limited heterogeneity of hiv type 1 in infected mothers correlates with lack of vertical transmission,Matala E,10.1089/088922200750006001,2000,1,1,*,
"selection of appropriate hiv-1 genomic regions for single-strand conformation polymorphism analysis of the diversity, modification, and transmission of hiv-1 quasispecies",Lin HJ,10.1097/00042560-199808150-00001,1998,1,1,*,
elucidation of an hiv-1 transmission from mother to child in west africa by sequence analysis,Kasper P,10.1016/s0934-8840(96)80107-1,1996,1,1,*,
diversification of hiv-1 strains after infection from a unique source,Kasper P,10.1089/aid.1993.9.153,1993,1,1,*,
"single genome amplification of proviral hiv-1 dna from dried blood spot specimens collected during early infant screening programs in lusaka, zambia",Seu L,10.1016/j.jviromet.2014.03.001,2014,1,1,assay eval,
human immunodeficiency virus type 1 evolution in vivo tracked by dna heteroduplex mobility assays,Delwart EL,10.1128/JVI.68.10.6672-6683.1994,1994,1,1,assay validation,
"high frequency of hiv-1 dual infections among hiv-positive individuals in cameroon, west central africa",Powell RL,10.1097/QAI.0b013e31818d5a40,2009,1,1,chronic infection,
genital tract human immunodeficiency virus type 1 (hiv-1) shedding and inflammation and hiv-1 env diversity in perinatal hiv-1 transmission,Panther LA,10.1086/315230,2000,1,1,diversity in transmitters,
deep sequencing reveals compartmentalized hiv-1 in the semen of men with and without sexually transmitted infection-associated urethritis,Council OD,10.1128/JVI.00151-20,2020,1,1,intrahost compartmentalisation,
hiv-1 tropism dynamics and phylogenetic analysis from longitudinal ultra-deep sequencing data of ccr5- and cxcr4-using variants,Sede MM,10.1371/journal.pone.0102857,2014,1,1,intrahost evolution,
slower evolution of human immunodeficiency virus type 1 quasispecies during progression to aids,Delwart EL,10.1128/JVI.71.10.7498-7508.1997,1997,1,1,intrahost evolution,
donor-recipient identification in para- and poly-phyletic trees under alternative hiv-1 transmission hypotheses using approximate bayesian computation,Romero-Severson EO,10.1534/genetics.117.300284,2017,1,1,modelling,
an evaluation of phylogenetic methods for reconstructing transmitted hiv variants using longitudinal clonal hiv sequence data,McCloskey RM,10.1128/JVI.00483-14,2014,1,1,modelling,
hiv-1 transmission during early infection in men who have sex with men: a phylodynamic analysis,Volz EM,10.1371/journal.pmed.1001568,2013,1,1,modelling,
modeling sequence evolution in acute hiv-1 infection,Lee HY,10.1016/j.jtbi.2009.07.038,2009,1,1,modelling review,
deep sequence analysis of hiv adaptation following vertical transmission reveals the impact of immune pressure on the evolution of hiv,Currenti J,10.1371/journal.ppat.1008177,2019,1,1,no quantification,
next-generation sequencing of hiv-1 single genome amplicons,Kijak GH,10.1016/j.bdq.2019.01.002,2019,1,1,no quantification,
hiv surveillance combining an assay for identification of very recent infection and phylogenetic analyses on dried spots,Brand D,10.1097/QAD.0000000000001325,2017,1,1,no quantification,
"generation and characterization of hiv-1 transmitted and founder virus consensus sequence from intravenous drug users in xinjiang, china",Li F,10.1089/AID.2016.0316,2017,1,1,no quantification,
forensic application of phylogenetic analyses - exploration of suspected hiv-1 transmission case,Siljic M,10.1016/j.fsigen.2016.12.006,2017,1,1,no quantification,
"transmitted/founder hiv-1 subtype c viruses show distinctive signature patterns in vif, vpr, and vpu that are under subsequent immune pressure during early infection",Rossenkhan R,10.1089/aid.2015.0330,2016,1,1,no quantification,
the combination of phylogenetic analysis with epidemiological and serological data to track hiv-1 transmission in a sexual transmission case,Chen M,10.1371/journal.pone.0119989,2015,1,1,no quantification,
comprehensive sieve analysis of breakthrough hiv-1 sequences in the rv144 vaccine efficacy trial,Edlefsen PT,10.1371/journal.pcbi.1003973,2015,1,1,no quantification,
disentangling the impact of within-host evolution and transmission dynamics on the tempo of hiv-1 evolution,Vrancken B,10.1097/QAD.0000000000000731,2015,1,1,no quantification,
estimating hiv-1 transmission routes for patients with unknown risk histories by viral sequence phylogenetic analyses,Wei M,10.1097/QAI.0000000000000735,2015,1,1,no quantification,
selection bias at the heterosexual hiv-1 transmission bottleneck,Carlson JM,10.1126/science.1254031,2014,1,1,no quantification,
"identification of human immunodeficiency virus-1 (hiv-1) transmission from a 29-year-old daughter to her mother in shanghai, china",Shao J,10.1007/s00705-012-1421-9,2013,1,1,no quantification,
hiv-1 env c2-v4 diversification in a slow-progressor infant reveals a flat but rugged fitness landscape,Smith SA,10.1371/journal.pone.0063094,2013,1,1,no quantification,
"molecular epidemiology of hiv-1 transmission in a cohort of hiv-1 concordant heterosexual couples from dakar, senegal",Jennes W,10.1371/journal.pone.0037402,2012,1,1,no quantification,
reconstructing the dynamics of hiv evolution within hosts from serial deep sequence data,Poon AF,10.1371/journal.pcbi.1002753,2012,1,1,no quantification,
phylogenetic analysis consistent with a clinical history of sexual transmission of hiv-1 from a single donor reveals transmission of highly distinct variants,English S,10.1186/1742-4690-8-54,2011,1,1,no quantification,
recurrent signature patterns in hiv-1 b clade envelope glycoproteins associated with either early or chronic infections,Gnanakaran S,10.1371/journal.ppat.1002209,2011,1,1,no quantification,
structure of hiv-1 quasi-species as early indicator for switches of co-receptor tropism,Dybowski JN,10.1186/1742-6405-7-41,2010,1,1,no quantification,
comparison of methods to detect hiv dual infection,Pacold,10.1089/aid.2010.0042,2010,1,1,no quantification,
sequence evolution of hiv-1 following mother-to-child transmission,Ryland EG,10.1128/JVI.01617-10,2010,1,1,no quantification,
selection of hiv variants with signature genotypic characteristics during heterosexual transmission,Sagar M,10.1086/596557,2009,1,1,no quantification,
env length and n-linked glycosylation following transmission of human immunodeficiency virus type 1 subtype b viruses,Liu Y,10.1016/j.virol.2008.01.029,2008,1,1,no quantification,
hiv-1 genetic diversity and compartmentalization in mother/infant pairs infected with crf01_ae,Tovanabutra S,10.1097/QAD.0b013e32810c8cf3,2007,1,1,no quantification,
population genetic estimation of the loss of genetic diversity during horizontal transmission of hiv-1,Edwards CT,10.1186/1471-2148-6-28,2006,1,1,no quantification,
passive sexual transmission of human immunodeficiency virus type 1 variants and adaptation in new hosts,Frater AJ,10.1128/JVI.02014-05,2006,1,1,no quantification,
characterization of hiv-1 envelope gp41 genetic diversity and functional domains following perinatal transmission,Ramakrishnan R,10.1186/1742-4690-3-42,2006,1,1,no quantification,
molecular characterization of the hiv-1 gag nucleocapsid gene associated with vertical transmission,Wellensiek BP,10.1186/1742-4690-3-21,2006,1,1,no quantification,
conservation of functional domains and limited heterogeneity of hiv-i reverse transcriptase gene following vertical transmission,Sundaravaradan V,10.1186/1742-4690-2-36,2005,1,1,no quantification,
genetic and phylogenetic analyses of hiv-1 corroborate the transmission link hypothesis,Pistello M,10.1016/j.jcv.2003.08.008,2004,1,1,no quantification,
molecular investigation of transmission of human immunodeficiency virus type 1 in a criminal case,Machuca R,10.1128/CDLI.8.5.884-890.2001,2001,1,1,no quantification,
diversity of the hiv-1 long terminal repeat following mother-to-child transmission,Blackard JT,10.1006/viro.2000.0466,2000,1,1,no quantification,
molecular analyses of human immunodeficiency virus type 1 v3 region quasispecies derived from plasma and peripheral blood mononuclear cells of the first long-term-nonprogressing mother and child pair,Wang Bin,10.1086/516489,1997,1,1,no quantification,
accurate reconstruction of a known hiv-1 transmission history by phylogenetic tree analysis,Leitner T,10.1073/pnas.93.20.10864,1996,1,1,no quantification,
intraspecific phylogenetics: support for dental transmission of human immunodeficiency virus,Crandall KA,10.1128/JVI.69.4.2351-2356.1995,1995,1,1,no quantification,
genomic human immunodeficiency virus type 1 rna variation in mother and child following intra-uterine virus transmission,Mulder-Kampinga GA,10.1099/0022-1317-74-9-1747,1993,1,1,no quantification,
selection for specific sequences in the external envelope protein of human immunodeficiency virus type 1 upon primary infection,Zhang LQ,10.1128/JVI.67.6.3345-3356.1993,1993,1,1,no quantification,
hiv-1 genomic rna diversification following sexual and parenteral virus transmission,Wolfs TF,10.1016/0042-6822(92)90685-I,1992,1,1,no quantification,
combining viral genetics and statistical modeling to improve hiv-1 time-of-infection estimation towards enhanced vaccine efficacy assessment,Rossenkhan R,10.3390/v11070607,2019,1,1,no results reported,
the molecular clock of hiv-1 unveiled through analysis of a known transmission history,Leitner T,10.1073/pnas.96.19.10752,1999,1,1,other phylogenetic,
hiv-1 gag genetic variation in a single acutely infected participant defined by high-resolution deep sequencing,Al-Mawsawi,10.1089/aid.2014.0097,2014,1,1,population level,
"hiv type 1 molecular epidemiology in pol and gp41 genes among naive patients from mato grosso do sul state, central western brazil",da Silveira AA,10.1089/aid.2011.0128,2012,1,1,population level,
identification of modifiable factors that affect the genetic diversity of the transmitted hiv-1 population,Sagar M,10.1097/00002030-200403050-00005,2004,1,1,post-hoc analysis of previous results,
"viral sequence analysis from hiv-infected mothers and infants: molecular evolution, diversity, and risk factors for mother-to-child transmission",Bulterys PL,10.1016/j.clp.2010.08.003,2010,1,1,review,
longitudinal population analysis of dual infection with recombination in two strains of hiv type 1 subtype b in an individual from a phase 3 hiv vaccine efficacy trial,Jobes,10.1089/aid.2006.22.968,2006,1,1,subject CART,
frequency of occurrence of hiv-1 dual infection in a belgian msm population,Hebberecht,10.1371/journal.pone.0195679,2018,1,1,superinfection,
high frequency of hiv-1 infections with multiple hiv-1 strains in men having sex with men (msm) in senegal,Leye N,10.1016/j.meegid.2013.09.002,2013,1,1,superinfection,
"a novel multiregion hybridization assay reveals high frequency of dual inter-subtype infections among hiv-positive individuals in cameroon, west central africa",Vidal N,10.1016/j.meegid.2012.11.017,2013,1,1,superinfection,
longitudinal quasispecies analysis of viral variants in hiv type 1 dually infected individuals highlights the importance of sequence identity in viral recombination,Powell RL,10.1089/aid.2009.0174,2010,1,1,superinfection,
fitness-balanced escape determines resolution of dynamic founder virus escape processes in hiv-1 infection,Sunshine JE,10.1128/JVI.01876-15,2015,1,1,T/F phenotype,
how does mother-to-child transmission of hiv differ among african populations? lessons from mbl2 genetic variation in zimbabweans,Mhandire K,10.1089/omi.2013.0131,2014,1,1,T/F phenotype,
evaluation of dried blood spots with a multiplex assay for measuring recent hiv-1 infection,Curtis KA,10.1371/journal.pone.0107153,2014,1,assay eval,NA,
biological and genetic characterization of hiv type 1 subtype b and nonsubtype b transmitted viruses: usefulness for vaccine candidate assessment,Cuevas,10.1089/aid.2010.0018,2010,1,assay eval,NA,
comparison of standard pcr/cloning to single genome sequencing for analysis of hiv-1 populations,Jordan MR,10.1016/j.jviromet.2010.04.030,2010,1,assay eval,NA,
primary isolates of human immunodeficiency virus type 1 are usually dominated by the major variants found in blood,Voronin Y,10.1128/JVI.01035-07,2007,1,assay eval,NA,
rapid molecular epidemiology of human immunodeficiency virus transmission,Delwart EL,10.1089/aid.1995.11.1081,1995,1,assay eval,NA,
compartmentalization of hiv-1 within the female genital tract is due to monotypic and low-diversity variants not distinct viral populations,Bull M,10.1371/journal.pone.0007122,2009,1,chronic individuals,NA,
phylogenetic relatedness of hiv-1 donor and recipient populations,Wertheim JO,10.1093/infdis/jit021,2013,1,comment,NA,
deep sequence analysis of hiv adaptation following vertical transmission: importance of human leucocyte antigen-driven selection on the evolution of hiv,Gaudieri S,10.1002/jia2.25327,2019,1,conference,NA,
differential infection of cultured peripheral and cns cells by distinct transmitted/founder hiv-1 infectious molecular clones (imc),Balinang J,10.1089/aid.2018.5000.abstracts,2018,1,conference,NA,
transmission of unique intersubtype hiv-1 recombinants predominate in both single and multiple variant infections in uganda,Balinda SN,10.1089/aid.2018.5000.abstracts,2018,1,conference,NA,
"the virtue of simplicity: the vaginal microbiome, genital inflammation and hiv risk",Kwon D,10.1111/aji.12981,2018,1,conference,NA,
infection with multiple transmitted/founder (tf) hiv-1 viruses impacts peak vl and hiv-1 pathogenesis,Macharia G,10.1089/aid.2018.5000.abstracts,2018,1,conference,NA,
molecular epidemiological of hiv-1 virus among blood donors in malaysia,Ab Halim M,10.1111/vox.12530,2017,1,conference,NA,
splicing in a panel of hiv-1 transmitted/founder viruses,Emery A,,2017,1,conference,NA,
exponential growth of hiv dependent on burst size breakthrough of the allee threshold,Hataye JM,,2017,1,conference,NA,
