TI,AU,DO,YR,Title Screen,Abstract Screen,Data Screen,Data Extracted,,,,
phylogenetics in hiv transmission: taking within-host diversity into account [review],Leitner T,10.1097/COH.0000000000000536,2019,review,,0,,,,,
prescription drug diversion among people living with hiv: a systematic scoping review,Chibi B,10.1016/j.puhe.2019.07.017,2019,review,,0,,,,,
psychological interventions for alcohol use disorders in people living with hiv/aids: a systematic review,Madhombiro M,10.1186/s13643-019-1176-4,2019,review,,0,,,,,
recent levels and trends in hiv incidence rates among adolescent girls and young women in ten high-prevalence african countries: a systematic review and meta-analysis,Birdthistle I,10.1016/S2214-109X%2819%2930410-3,2019,review,,0,,,,,
the linkage between amphetamine-type stimulants and hiv sexual transmission risk behaviors (trbs): a systematic review,Muflih S,10.5530/srp.2019.1s.16,2019,review,,0,,,,,
the theory of masculinity in studies on hiv a systematic review,Jacques-Avino C,10.1080/17441692.2018.1493133,2019,review,,0,,,,,
a global review of hiv self-testing: themes and implications,Stevens DR,10.1007/s10461-017-1707-8,2018,review,,0,,,,,
adherence to antiretroviral therapy for hiv/aids in latin america and the caribbean: systematic review and meta-analysis: systematic,Costa JDM,10.1002/jia2.25066,2018,review,,0,,,,,
crispr/cas9 genome editing to disable the latent hiv-1 provirus [review],Panfil AR,10.3389/fmicb.2018.03107,2018,review,,0,,,,,
current insights into anti-hiv drug discovery and development: a review of recent patent literature (2014-2017),Zuo X,10.1080/13543776.2018.1438410,2018,review,,0,,,,,
"cytomegalovirus retinitis in hiv-negative patients - associated conditions, clinical presentation, diagnostic methods and treatment strategy [review]",Shapira Y,10.1111/aos.13553,2018,review,,0,,,,,
defining and surveying key populations at risk of hiv infection: towards a unified approach to eligibility criteria for respondent-driven sampling hiv biobehavioral surveys [review],Hakim AJ,10.1177/0956462418763882,2018,review,,0,,,,,
engineering multi-specific antibodies against hiv-1 [review],Padte NN,10.1186/s12977-018-0439-9,2018,review,,0,,,,,
essential two-component systems regulating cell envelope functions: opportunities for novel antibiotic therapies [review],Cardona ST,10.1007/s00232-017-9995-5,2018,review,,0,,,,,
hiv outcomes among migrants from low-income and middle-income countries living in high-income countries: a review of recent evidence [review],Ross J,10.1097/QCO.0000000000000415,2018,review,,0,,,,,
hiv pre-exposure prophylaxis in south east asia: a focused review on present situation,To KW,10.1016/j.ijid.2018.10.027,2018,review,,0,,,,,
"integrating cardiovascular diseases, hypertension, and diabetes with hiv services: a systematic review",Haldane V,10.1080/09540121.2017.1344350,2018,review,,0,,,,,
measuring replication competent hiv-1: advances and challenges in defining the latent reservoir [review],Wang Z,10.1186/s12977-018-0404-7,2018,review,,0,,,,,
"multi-envelope hiv-1 vaccine development: two targeted immune pathways, one desired protective outcome [review]",Hurwitz JL,10.1089/vim.2017.0144,2018,review,,0,,,,,
phylogenetic analysis as a forensic tool in hiv transmission investigations [review],Abecasis AB,10.1097/QAD.0000000000001728,2018,review,,0,,,,,
physical activity correlates in people living with hiv/aids: a systematic review of 45 studies,Vancampfort D,10.1080/09638288.2017.1306587,2018,review,,0,,,,,
polyreactive antibodies in anti-hiv-1 responses [review],Liao H,10.2174/1566524018666180720165406,2018,review,,0,,,,,
preventive and therapeutic features of broadly neutralising monoclonal antibodies against hiv-1 [review],Jaworski JP,10.1016/S2352-3018(18)30174-7,2018,review,,0,,,,,
recent progress in understanding hiv reservoirs [review],Kuo HH,10.1097/COH.0000000000000441,2018,review,,0,,,,,
risky behaviours and their correlates among adolescents living with hiv in sub-saharan africa: a systematic review,Zgambo M,10.1186/s12978-018-0614-4,2018,review,,0,,,,,
"scaling up hiv self-testing in sub-saharan africa: a review of technology, policy and evidence",Indravudh PP,10.1097/QCO.0000000000000426,2018,review,,0,,,,,
single-molecule techniques to quantify and genetically characterise persistent hiv [review],Wang XQ,10.1186/s12977-017-0386-x,2018,review,,0,,,,,
supervised physical activity and improved functional capacity among adults living with hiv: a systematic review,Voigt N,10.1016/j.jana.2018.05.001,2018,review,,0,,,,,
the impact of hiv-1 within-host evolution on transmission dynamics [review],Theys K,10.1016/j.coviro.2017.12.001,2018,review,,0,,,,,
[molecular mechanisms of hiv-1 genetic diversity] [review] [russian],Sosin DV,10.7868/S0026898417030156,2017,review,,0,,,,,
a systematic review of emergency department based hiv testing and linkage to care initiatives in low resource settings,Hansoti B,10.1371/journal.pone.0187443,2017,review,,0,,,,,
an analysis of the extent of social inclusion and equity consideration in malawi's national hiv and aids policy review process,Chinyama MJ,10.15171/ijhpm.2017.87,2017,review,,0,,,,,
defining hiv-1 transmission clusters based on sequence data [review],Hassan AS,10.1097/QAD.0000000000001470,2017,review,,0,,,,,
development of an anti-hiv vaccine eliciting broadly neutralizing antibodies [review],Ahmed Y,10.1186/s12981-017-0178-3,2017,review,,0,,,,,
development of an hiv vaccine using a vesicular stomatitis virus vector expressing designer hiv-1 envelope glycoproteins to enhance humoral responses [review],Racine T,10.1186/s12981-017-0179-2,2017,review,,0,,,,,
dropout from physical activity interventions in people living with hiv: a systematic review and meta-analysis,Vancampfort D,10.1080/09540121.2016.1248347,2017,review,,0,,,,,
effectiveness of progressive resistive exercise (pre) in the context of hiv: systematic review and meta-analysis using the cochrane collaboration protocol,O'Brien KK,10.1186/s12879-017-2342-8,2017,review,,0,,,,,
geographic distribution and temporal trends of hiv-1 subtypes through heterosexual transmission in china: a systematic review and meta-analysis,Xiao P,10.3390/ijerph14070830,2017,review,,0,,,,,
harmonizing community-based health worker programs for hiv: a narrative review and analytic framework,De Neve J-W,10.1186/s12960-017-0219-y,2017,review,,0,,,,,
health systems facilitators and barriers to the integration of hiv and chronic disease services: a systematic review,Watt N,10.1093/heapol/czw149,2017,review,,0,,,,,
how can we use phylogenetics to facilitate clinical case finding and partner notification in hiv? lessons from a systematic review of its use in stigmatised infectious diseases,Mulka L,10.1111/hiv.12513,2017,review,,0,,,,,
how hiv-1 entry mechanism and broadly neutralizing antibodies guide structure-based vaccine design [review],Pancera M,10.1097/COH.0000000000000360,2017,review,,0,,,,,
human immunodeficiency virus-negative plasmablastic lymphoma: a case report and literature review,Lin L,10.1097/MD.0000000000006171,2017,review,,0,,,,,
integration of sexually transmitted infection (sti) services into hiv care and treatment services for women living with hiv: a systematic review,Kennedy CE,10.1136/bmjopen-2016-015310,2017,review,,0,,,,,
interventions and approaches to integrating hiv and mental health services: a systematic review,Chuah FLH,10.1093/heapol/czw169,2017,review,,0,,,,,
making sense of multifunctional proteins: human immunodeficiency virus type 1 accessory and regulatory proteins and connections to transcription [review],Faust TB,10.1146/annurev-virology-101416-041654,2017,review,,0,,,,,
mechanisms of hiv-1 control [review],Soliman M,10.1007/s11904-017-0357-9,2017,review,,0,,,,,
on the whereabouts of hiv-1 cellular entry and its fusion ports [review],Jakobsdottir GM,10.1016/j.molmed.2017.08.005,2017,review,,0,,,,,
phospholipases: at the crossroads of the immune system and the pathogenesis of hiv-1 infection [review],Cecchetti S,10.1189/jlb.3RU0316-148RR,2017,review,,0,,,,,
"sexual activity, sexual function, and sexual satisfaction among women living with hiv: a feminist scoping review of 20 years of global epidemiological research",Carter A,,2017,review,,0,,,,,
systems serology: profiling vaccine induced humoral immunity against hiv [review],Chung AW,10.1186/s12977-017-0380-3,2017,review,,0,,,,,
underutilisation of routinely collected data in the hiv programme in zambia: a review of quantitatively analysed peer-reviewed articles,Munthali T,10.1186/s12961-017-0221-9,2017,review,,0,,,,,
use of direct oral anticoagulants for treatment of atrial fibrillation in patients with hiv: a review,West,10.1097/COH.0000000000000412,2017,review,,0,,,,,
virus-host gene interactions define hiv-1 disease progression [review],Monaco DC,10.1007/82_2017_33,2017,review,,0,,,,,
a step forward understanding hiv-1 diversity [review],Smyth RP,10.1186/s12977-016-0259-8,2016,review,,0,,,,,
cardiorespiratory fitness levels and moderators in people with hiv: a systematic review and meta-analysis,Vancampfort D,10.1016/j.ypmed.2016.10.001,2016,review,,0,,,,,
effectiveness of aerobic exercise for adults living with hiv: systematic review and meta-analysis using the cochrane collaboration protocol,O'Brien KK,10.1186/s12879-016-1478-2,2016,review,,0,,,,,
enhancing hiv prevention among young men who have sex with men: a systematic review of hiv behavioral interventions for young gay and bisexual men (special issue: hiv prevention among diverse young msm),Hergenrather,10.1521/aeap.2016.28.3.252,2016,review,,0,,,,,
exosomes in human immunodeficiency virus type i pathogenesis: threat or opportunity? [review],Teow SY,10.1155/2016/9852494,2016,review,,0,,,,,
hiv-1 drug resistance and resistance testing [review],Clutter DS,10.1016/j.meegid.2016.08.031,2016,review,,0,,,,,
hiv-1 subtype b: traces of a pandemic [review],Junqueira DM,10.1016/j.virol.2016.05.003,2016,review,,0,,,,,
hiv-host interactions: implications for vaccine design [review],Haynes BF,10.1016/j.chom.2016.02.002,2016,review,,0,,,,,
improving engagement in the hiv care cascade: a systematic review of interventions involving people living with hiv/aids as peers,Genberg BL,10.1007/s10461-016-1307-z,2016,review,,0,,,,,
"interventions to prevent sexually transmitted infections, including hiv, among young people in low- and middle-income countries: a systematic review of the published and gray literature (special issue: what works? systematic assessments of sexual and reproductive interventions for young people in low- and middle-income countries)",Kalamar,10.1016/j.jadohealth.2016.05.020,2016,review,,0,,,,,
lessons from acute hiv infection [review],Robb ML,,2016,review,,0,,,,,
molecular epidemiology of hiv-1 infection in europe: an overview [review],Beloukas A,10.1016/j.meegid.2016.06.033,2016,review,,0,,,,,
release of soluble ligands for the activating nkg2d receptor: one more immune evasion strategy evolved by hiv-1 ? [review],Giuliani E,,2016,review,,0,,,,,
the early bird catches the worm--can evolution teach us lessons in fighting hiv? [review],Schaller T,,2016,review,,0,,,,,
the role genes encoding of killer cell immunoglobulin-like receptors (kirs) and their ligands in susceptibility to and progression of hiv infection [review],Blachowicz O,10.5604/17322693.1227771,2016,review,,0,,,,,
[identification and characterization of hiv-1 transmitted /founder viruses] [review] [chinese],Zhao JY,10.16288/j.yczz.14-452,2015,review,,0,,,,,
cd4+ t cell counts in initiation of antiretroviral therapy in hiv infected asymptomatic individuals; controversies and inconsistencies [review],Maina EK,10.1016/j.imlet.2015.10.005,2015,review,,0,,,,,
cell walls and the convergent evolution of the viral envelope [review],Buchmann JP,10.1128/MMBR.00017-15,2015,review,,0,,,,,
effectiveness of aerobic exercise for adults living with hiv: a cochrane collaboration systematic review update,O'Brien KK,,2015,review,,0,,,,,
hiv and sti testing in older adults: an integrative review [review],Tillman JL,10.1111/jocn.12797,2015,review,,0,,,,,
hiv-1 gp120 as a therapeutic target: navigating a moving labyrinth [review],Acharya P,10.1517/14728222.2015.1010513,2015,review,,0,,,,,
"hiv-1 group o origin, evolution, pathogenesis, and treatment: unraveling the complexity of an outlier 25 years later [review]",Bush S,,2015,review,,0,,,,,
hiv-1 nef: a master manipulator of the membrane trafficking machinery mediating immune evasion [review],Pawlak EN,10.1016/j.bbagen.2015.01.003,2015,review,,0,,,,,
"hiv-1 rnas: sense and antisense, large mrnas and small sirnas and mirnas [review]",Harwig A,10.1097/COH.0000000000000135,2015,review,,0,,,,,
integrating antiretroviral strategies for human immunodeficiency virus prevention: post- and pre-exposure prophylaxis and early treatment [review],Grant RM,10.1093/ofid/ofv126,2015,review,,0,,,,,
potential predictors for serofast state after treatment among hiv-negative persons with syphilis in china: a systematic review and meta-analysis,Qin JiaBi,,2015,review,,0,,,,,
review: influence of art on hiv genetics,Simonetti,10.1097/COH.0000000000000120,2015,review,,0,,,,,
role of hla adaptation in hiv evolution [review],Kloverpris HN,10.3389/fimmu.2015.00665,2015,review,,0,,,,,
social media and hiv: a systematic review of uses of social media in hiv communication,Taggart T,10.2196/jmir.4387,2015,review,,0,,,,,
the evolution of hiv-1 interactions with coreceptors and mannose c-type lectin receptors [review],Borggren M,10.1016/bs.pmbts.2014.10.004,2015,review,,0,,,,,
the hiv-1 entry process: a stoichiometric view [review],Brandenberg OF,10.1016/j.tim.2015.09.003,2015,review,,0,,,,,
work environments and hiv prevention: a qualitative review and meta-synthesis of sex worker narratives,Goldenberg,,2015,review,,0,,,,,
a fitness bottleneck in hiv-1 transmission,Joseph SB,10.1126/science.1257425,2014,review,,0,,,,,
"a systematic review of income generation interventions, including microfinance and vocational skills training, for hiv prevention",Kennedy CE,10.1080/09540121.2013.845287,2014,review,,0,,,,,
"a systematic review of stigma-reducing interventions for diasporic black, african and caribbean women living with hiv in canada",Aden M,,2014,review,,0,,,,,
antibody b cell responses in hiv-1 infection [review],Mouquet H,10.1016/j.it.2014.08.007,2014,review,,0,,,,,
antiretroviral therapy for initial human immunodeficiency virus/aids treatment: critical appraisal of the evidence from over 100 randomized trials and 400 systematic reviews and meta-analyses [review],Kanters S,10.1111/1469-0691.12475,2014,review,,0,,,,,
cardiovascular disease in patients with chronic human immunodeficiency virus infection [review],Escarcega RO,10.1016/j.ijcard.2014.04.155,2014,review,,0,,,,,
challenges in the design of a t cell vaccine in the context of hiv-1 diversity [review],Tongo M,10.3390/v6103968,2014,review,,0,,,,,
deep sequencing of hiv: clinical and research applications [review],Chabria SB,10.1146/annurev-genom-091212-153406,2014,review,,0,,,,,
development of broadly neutralizing antibodies from autologous neutralizing antibody responses in hiv infection [review],Derdeyn CA,10.1097/COH.0000000000000057,2014,review,,0,,,,,
drug resistance in non-b subtype hiv-1: impact of hiv-1 reverse transcriptase inhibitors [review],Singh K,10.3390/v6093535,2014,review,,0,,,,,
drug resistance in the hiv-1-infected paediatric population worldwide: a systematic review,Sanchez PR,10.1093/jac/dku104,2014,review,,0,,,,,
drug resistance in the hiv-1-infected paediatric population worldwide: a systematic review [review],Rojas Sanchez P,10.1093/jac/dku104,2014,review,,0,,,,,
hiv pre-exposure prophylaxis for people who inject drugs: a review of current results and an agenda for future research,Escudero DJ,10.7448/IAS.17.1.18899,2014,review,,0,,,,,
hiv/aids health care challenges for cross-country migrants in low- and middle-income countries: a scoping review,Suphanchaimat R,10.2147/HIV.S56277,2014,review,,0,,,,,
innate and adaptive immune responses in male and female reproductive tracts in homeostasis and following hiv infection [review],Nguyen PV,10.1038/cmi.2014.41,2014,review,,0,,,,,
intimate partner violence and hiv infection among women: a systematic review and meta-analysis,Li Y,10.7448/IAS.17.1.18845,2014,review,,0,,,,,
molecular tools for studying hiv transmission in sexual networks [review],Grabowski MK,10.1097/COH.0000000000000040,2014,review,,0,,,,,
novel hiv-1 non-nucleoside reverse transcriptase inhibitors: a patent review (2011-2014),Li X,10.1517/13543776.2014.964685,2014,review,,0,,,,,
role of biomedical and behavioral interventions and their evidence in prevention of hiv infection: a literature review,Chattu,10.4103/2230-8598.144057,2014,review,,0,,,,,
structural and community-level interventions for increasing condom use to prevent the transmission of hiv and other sexually transmitted infections [review],Moreno R,10.1002/14651858.CD003363.pub3,2014,review,,0,,,,,
the influence of delivery vectors on hiv vaccine efficacy [review],Ondondo BO,10.3389/fmicb.2014.00439,2014,review,,0,,,,,
the role of fc receptors in hiv infection and vaccine efficacy [review],Cocklin SL,10.1097/COH.0000000000000051,2014,review,,0,,,,,
what is health communication and how does it affect the hiv/aids continuum of care? a brief primer and case study from new york city [review],Storey D,10.1097/QAI.0000000000000243,2014,review,,0,,,,,
[elite controllers and the mechanisms behind spontaneous control of hiv] [review] [hebrew],Shasha D,,2013,review,,0,,,,,
a review of referrals and interventions within a specialist hiv outpatient physiotherapy service,Brown D,10.1111/hiv.12027,2013,review,,0,,,,,
current status of hiv-1 diversity and drug resistance monitoring in the former ussr [review],Bobkova M,,2013,review,,0,,,,,
current trends of hiv recombination worldwide [review],Lau KA,10.4081/idr.2013.s1.e4,2013,review,,0,,,,,
electrospun fibers for vaginal anti-hiv drug delivery [review],Blakney AK,10.1016/j.antiviral.2013.09.022,2013,review,,0,,,,,
genetic diversity of human immunodeficiency virus type 1 in democratic republic of congo: a review of available data,Kamangu EN,10.1136/sextrans-2013-051184.0720,2013,review,,0,,,,,
genetic diversity of human immunodeficiency virus type 1 in the democratic republic of congo: a review of available data,Erick,,2013,review,,0,,,,,
hiv-1 associated topoisomerase iibeta kinase: a potential pharmacological target for viral replication [review],Ponraj K,,2013,review,,0,,,,,
mobile phone applications for the care and prevention of hiv and other sexually transmitted diseases: a review,Muessig KE,10.2196/jmir.2301,2013,review,,0,,,,,
mobile phone applications for the care and prevention of hiv and other sexually transmitted diseases: a review [review],Muessig KE,10.2196/jmir.2301,2013,review,,0,,,,,
"paleovirology of 'syncytins', retroviral env genes exapted for a role in placentation [review]",Lavialle C,10.1098/rstb.2012.0507,2013,review,,0,,,,,
pathogenesis of hiv infection [review],Naif HM,10.4081/idr.2013.s1.e6,2013,review,,0,,,,,
role of glycosphingolipids in dendritic cell-mediated hiv-1 trans-infection [review],Puryear WB,10.1007/978-1-4614-4433-6_5,2013,review,,0,,,,,
supervised and unsupervised self-testing for hiv in high- and low-risk populations: a systematic review,Pant Pai N,10.1371/journal.pmed.1001414,2013,review,,0,,,,,
"systematic review examining differences in hiv, sexually transmitted infections and health-related harms between migrant and non-migrant female sex workers",Platt L,10.1136/sextrans-2012-050491,2013,review,,0,,,,,
the increasing prevalence of hiv-1 subtype c in southern brazil and its dispersion through the continent (special issue: 2013 reviews issue),Graf,10.1016/j.virol.2012.08.048,2013,review,,0,,,,,
the role of neutralizing antibodies in prevention of hiv-1 infection: what can we learn from the mother-to-child transmission context? [review],Braibant M,10.1186/1742-4690-10-103,2013,review,,0,,,,,
use of digital media technology for primary prevention of stis/hiv in adolescents and young adults: a systematic review of the literature,Chavez NR,10.1016/j.jadohealth.2012.10.199,2013,review,,0,,,,,
are subtype differences important in hiv drug resistance? [review],Lessells RJ,10.1016/j.coviro.2012.08.006,2012,review,,0,,,,,
cocaine and hiv-1 interplay in cns: cellular and molecular mechanisms [review],Buch S,,2012,review,,0,,,,,
community strategies that improve care and retention along the prevention of mother-to-child transmission of hiv cascade: a review,Marcos Y,,2012,review,,0,,,,,
from promoting to inhibiting: diverse roles of helicases in hiv-1 replication [review],Lorgeoux RP,10.1186/1742-4690-9-79,2012,review,,0,,,,,
hiv compartmentalization: a review on a clinically important phenomenon,Blackard,10.2174/157016212799937245,2012,review,,0,,,,,
"hiv types, groups, subtypes and recombinant forms: errors in replication, selection pressure and quasispecies [review]",Eberle J,10.1159/000331993,2012,review,,0,,,,,
hiv-related stigma within communities of gay men: a literature review,Smit PJ,10.1080/09540121.2011.613910,2012,review,,0,,,,,
host genes important to hiv replication and evolution [review],Telenti A,10.1101/cshperspect.a007203,2012,review,,0,,,,,
labor migration and hiv risk: a systematic review of the literature,Weine SM,10.1007/s10461-012-0183-4,2012,review,,0,,,,,
mechanism of hiv antiretroviral drugs progress toward drug resistance [review],Ammaranond P,10.1111/j.1472-8206.2011.01009.x,2012,review,,0,,,,,
microbicides: topical prevention against hiv [review],Shattock RJ,10.1101/cshperspect.a007385,2012,review,,0,,,,,
neutralizing antibodies and control of hiv: moves and countermoves [review],Hessell AJ,10.1007/s11904-011-0105-5,2012,review,,0,,,,,
on hiv diversity [review],Ndung'u T,10.1097/QAD.0b013e32835461b5,2012,review,,0,,,,,
opioids in the management of hiv-related pain [review],Krashin DL,,2012,review,,0,,,,,
osteoporosis and vitamin d deficiency in hiv-infected patients: genetic and classical factors compared to the hiv-associated ones - review,Bander D,10.1016/j.hivar.2011.11.001,2012,review,,0,,,,,
pharmacy nonprescription syringe distribution and hiv/aids: a review,Janulis P,10.1331/JAPhA.2012.11136,2012,review,,0,,,,,
physical activity: do patients infected with hiv practice? how much? a systematic review,Schuelter-Trevisol F,10.2174/157016212802429794,2012,review,,0,,,,,
review: a critical evaluation of arguments opposing male circumcision for hiv prevention in developed countries,Morris BJ,10.1080/09540121.2012.661836,2012,review,,0,,,,,
t cell virological synapses and hiv-1 pathogenesis [review],Chen BK,10.1007/s12026-012-8320-8,2012,review,,0,,,,,
the antibody response against hiv-1 [review],Overbaugh J,10.1101/cshperspect.a007039,2012,review,,0,,,,,
the hiv epidemic: high-income countries [review],Vermund SH,10.1101/cshperspect.a007195,2012,review,,0,,,,,
the molecular basis of hiv entry [review],Klasse PJ,10.1111/j.1462-5822.2012.01812.x,2012,review,,0,,,,,
the role of vif oligomerization and rna chaperone activity in hiv-1 replication [review],Batisse J,10.1016/j.virusres.2012.06.018,2012,review,,0,,,,,
update on hiv-1 diversity in africa: a decade in review [review],Lihana RW,,2012,review,,0,,,,,
aerobic exercise interventions for adults living with hiv/aids: an update of a cochrane collaboration systematic review,O'Brien KK,,2011,review,,0,,,,,
beyond plasma membrane targeting: role of the ma domain of gag in retroviral genome encapsidation [review],Parent LJ,10.1016/j.jmb.2011.04.072,2011,review,,0,,,,,
beyond the abc in hiv/aids prevention: a systematic literature review of sexual education programs for young people,Estrada-Montoya JH,10.1136/sextrans-2011-050108.279,2011,review,,0,,,,,
cellular kinases incorporated into hiv-1 particles: passive or active passengers? [review],Giroud C,10.1186/1742-4690-8-71,2011,review,,0,,,,,
diverse interactions of retroviral gag proteins with rnas [review],Rein A,10.1016/j.tibs.2011.04.001,2011,review,,0,,,,,
epidemiology of hiv infection in the united states: implications for linkage to care [review],Moore RD,10.1093/cid/ciq044,2011,review,,0,,,,,
facilitating hiv disclosure across diverse settings: a review,Obermeyer CM,10.2105/AJPH.2010.300102,2011,review,,0,,,,,
hiv and depression--a systematic review of interventions,Sherr L,,2011,review,,0,,,,,
hiv care for geographically mobile populations [review],Taylor BS,10.1002/msj.20255,2011,review,,0,,,,,
hiv envelope: challenges and opportunities for development of entry inhibitors [review],Caffrey M,10.1016/j.tim.2011.02.001,2011,review,,0,,,,,
hiv infection and sti in the trans population: a critical review,Giami A,10.1016/j.respe.2011.02.102,2011,review,,0,,,,,
"hiv-1 envelope, integrins and co-receptor use in mucosal transmission of hiv [review]",Cicala C,10.1186/1479-5876-9-S1-S2,2011,review,,0,,,,,
hiv-1 molecular epidemiology evidence and transmission patterns in the middle east and north africa [review],Mumtaz G,10.1136/sti.2010.043711,2011,review,,0,,,,,
hiv-1 viral diversity and its implications for viral load testing: review of current platforms [review],Luft LM,10.1016/j.ijid.2011.05.013,2011,review,,0,,,,,
hiv/sti prevention interventions targeting fsws in china: a systematic literature review,Hong Y,10.1080/09540121.2011.554526,2011,review,,0,,,,,
linkage to care for hiv-infected heterosexual men in the united states [review],Zaller ND,10.1093/cid/ciq046,2011,review,,0,,,,,
optimized methods for imaging membrane nanotubes between t cells and trafficking of hiv-1 [review],Sowinski S,10.1016/j.ymeth.2010.04.002,2011,review,,0,,,,,
promoting african american women and sexual assertiveness in reducing hiv/aids: an analytical review of the research literature [review],Kennedy BR,,2011,review,,0,,,,,
review of hiv and other sexually transmitted infections among female sex workers in china,Poon AN,10.1080/09540121.2011.554519,2011,review,,0,,,,,
review of hiv and other sexually transmitted infections among female sex workers in china (special issue: women and hiv in china),Poon,10.1080/09540121.2011.554519,2011,review,,0,,,,,
reviewing the history of hiv-1: spread of subtype b in the americas,Junqueira DM,10.1371/journal.pone.0027489,2011,review,,0,,,,,
"substance abuse, violence, and hiv in women: a literature review of the syndemic",Meyer JP,10.1089/jwh.2010.2328,2011,review,,0,,,,,
the role of hiv replicative fitness in perinatal transmission of hiv [review],Chen XQ,10.1007/s12250-011-3180-2,2011,review,,0,,,,,
the status of the hiv epidemic in lebanondsystematic review and synthesis,Mumtaz G,10.1136/sextrans-2011-050108.15,2011,review,,0,,,,,
tits and bits of hiv tat protein [review],Johri MK,10.1517/14712598.2011.546339,2011,review,,0,,,,,
transgenders and hiv: a literature review of hiv risk behaviours and prevalence rates,Butt S,10.1136/sextrans-2011-050108.351,2011,review,,0,,,,,
what do we know about older adults and hiv? a review of social and behavioral literature,Sankar A,10.1080/09540121.2011.564115,2011,review,,0,,,,,
alternative splicing: regulation of hiv-1 multiplication as a target for therapeutic action [review] [50 refs],Tazi J,10.1111/j.1742-4658.2009.07522.x,2010,review,,0,,,,,
behavioural interventions for hiv positive prevention in developing countries: a systematic review and meta-analysis,Kennedy,10.2471/BLT.09.068213,2010,review,,0,,,,,
modulation of hiv-1 virulence via the host glucocorticoid receptor: towards further understanding the molecular mechanisms of hiv-1 pathogenesis [review] [126 refs],Hapgood JP,10.1007/s00705-010-0678-0,2010,review,,0,,,,,
"non-nucleoside reverse transcriptase inhibitors (nnrtis), their discovery, development, and use in the treatment of hiv-1 infection: a review of the last 20 years (1989-2009)",de Bethune M-P,10.1016/j.antiviral.2009.09.008,2010,review,,0,,,,,
