"","covariate_level","emmean","SE","df","asymp.LCL","asymp.UCL","label"
"f5.3","1001-2000",-0.775855198828373,0.184700603630275,Inf,-1.13786172986652,-0.413848667790225,"Alignment Bin.no_smallsample"
"f5.4","2001-4000",-1.19451947444942,0.162127145782172,Inf,-1.51228284109876,-0.876756107800092,"Alignment Bin.no_smallsample"
"f5.5","251-500",-0.239421399898219,0.303028352069309,Inf,-0.833346056248588,0.35450325645215,"Alignment Bin.no_smallsample"
"f5.6","4001-8000",-0.435246527465488,0.578227047672693,Inf,-1.56855071579089,0.698057660859915,"Alignment Bin.no_smallsample"
"f5.7","501-1000",-1.00969962122993,0.312495896663164,Inf,-1.62218032400628,-0.397218918453575,"Alignment Bin.no_smallsample"
"f6.1","<21",-1.10952404184807,0.182629209799133,Inf,-1.46747071557938,-0.751577368116759,"Sampling Delay.no_smallsample"
"f6.2",">21",-1.06387310074912,0.152259207857328,Inf,-1.36229566446408,-0.76545053703416,"Sampling Delay.no_smallsample"
"f6.3","unknown",-0.90294644155654,0.23661440586109,Inf,-1.36670215526762,-0.43919072784546,"Sampling Delay.no_smallsample"
"f1.11","HSX",-1.19410355609729,0.165120328901787,Inf,-1.5177334538602,-0.870473658334378,"Riskgroup.no_zero"
"f1.21","MSM",-0.899264867572484,0.159942774212468,Inf,-1.21274694461634,-0.585782790528626,"Riskgroup.no_zero"
"f1.31","MTC",-0.829582736334871,0.25014140935929,Inf,-1.31985088972117,-0.339314582948573,"Riskgroup.no_zero"
"f1.41","PWID",-0.1987920178857,0.331875823458986,Inf,-0.849256679204887,0.451672643433486,"Riskgroup.no_zero"
"f2.11","HSX:MTF",-1.03915892201572,0.179329991730432,Inf,-1.39063924715523,-0.687678596876211,"Reported Exposure.no_zero"
"f2.21","HSX:FTM",-1.63536976078498,0.240702504895145,Inf,-2.10713800136804,-1.16360152020192,"Reported Exposure.no_zero"
"f2.31","HSX:nodirection",-0.623919871181373,0.593092829573374,Inf,-1.78636045663414,0.538520714271392,"Reported Exposure.no_zero"
"f2.41","MSM",-0.896063374947718,0.158985421456465,Inf,-1.20766907506931,-0.584457674826125,"Reported Exposure.no_zero"
"f2.51","MTC:IntraP",-0.377657633701212,0.383076386764084,Inf,-1.12847355508655,0.37315828768413,"Reported Exposure.no_zero"
"f2.61","MTC:notiming",-0.977213121581719,0.481913878854431,Inf,-1.9217469677864,-0.0326792753770364,"Reported Exposure.no_zero"
"f2.71","MTC:PostP",-1.57228404434589,0.977015034778843,Inf,-3.48719832486657,0.342630236174794,"Reported Exposure.no_zero"
"f2.81","MTC:PreP",-0.919850396220983,0.351654853446569,Inf,-1.60908124396497,-0.230619548476996,"Reported Exposure.no_zero"
"f2.91","PWID",-0.223033897222206,0.328950696048203,Inf,-0.867765414166067,0.421697619721655,"Reported Exposure.no_zero"
"f3.11","haplotype",-0.941171896749185,0.16649684485891,Inf,-1.2674997162122,-0.614844077286169,"Grouped Method.no_zero"
"f3.21","distance",-1.26469219921086,0.283855777473514,Inf,-1.82103929986256,-0.708345098559158,"Grouped Method.no_zero"
"f3.31","model",-1.39666880998204,0.548679546853573,Inf,-2.4720609608688,-0.321276659095276,"Grouped Method.no_zero"
"f3.41","molecular",-0.405056456850172,0.207546788586286,Inf,-0.811840687586242,0.00172777388589734,"Grouped Method.no_zero"
"f3.51","phylogenetic:R",-1.23944689982636,0.194097555412439,Inf,-1.61987111792201,-0.859022681730711,"Grouped Method.no_zero"
"f3.61","phylogenetic:S&R",-0.794338004529775,0.249997526939221,Inf,-1.28432415355473,-0.304351855504821,"Grouped Method.no_zero"
"f4.11","env",-0.795631559210163,0.100282382969607,Inf,-0.992181418114445,-0.599081700305881,"Sequencing Gene.no_zero"
"f4.21","gag",-0.849517471494084,0.612047903372198,Inf,-2.04910931891684,0.350074375928675,"Sequencing Gene.no_zero"
"f4.31","pol",-0.951785397903797,0.966736690771468,Inf,-2.84655449434931,0.942983698541715,"Sequencing Gene.no_zero"
"f4.41","whole.genome",-1.83469752495942,0.265317714115722,Inf,-2.35471068908673,-1.31468436083211,"Sequencing Gene.no_zero"
"f5.11","NFLG",-1.82296494356014,0.243167376695569,Inf,-2.29956424409854,-1.34636564302174,"Alignment Bin.no_zero"
"f5.21","0-250",-0.716199755213402,0.56518675071386,Inf,-1.82394543115178,0.391545920724981,"Alignment Bin.no_zero"
"f5.31","1001-2000",-0.657053033733355,0.149388639523115,Inf,-0.949849386898098,-0.364256680568613,"Alignment Bin.no_zero"
"f5.41","2001-4000",-1.10888516763567,0.147922576583455,Inf,-1.39880809023961,-0.81896224503173,"Alignment Bin.no_zero"
"f5.51","251-500",-0.19279905331098,0.244082162263013,Inf,-0.671191300615146,0.285593193993187,"Alignment Bin.no_zero"
"f5.61","4001-8000",-0.434132279864525,0.509646537785809,Inf,-1.43302113877024,0.564756579041192,"Alignment Bin.no_zero"
"f5.71","501-1000",-0.970071173294978,0.263590438814533,Inf,-1.48669894004057,-0.453443406549384,"Alignment Bin.no_zero"
"f6.11","<21",-1.01447779860969,0.166251281734533,Inf,-1.34032432319299,-0.688631274026379,"Sampling Delay.no_zero"
"f6.21",">21",-0.968853118380096,0.130739751449828,Inf,-1.22509832256948,-0.712607914190716,"Sampling Delay.no_zero"
"f6.31","unknown",-0.766055826822281,0.210667728773592,Inf,-1.17895698792337,-0.353154665721189,"Sampling Delay.no_zero"
"f1.12","HSX",-1.37161725522337,0.160255002582571,Inf,-1.68571128862758,-1.05752322181916,"Riskgroup.sga_only"
"f1.22","MSM",-0.877375307932319,0.140536052338851,Inf,-1.1528209090459,-0.601929706818734,"Riskgroup.sga_only"
"f1.32","MTC",-1.65953548607663,0.433751412176421,Inf,-2.5096726321858,-0.809398339967457,"Riskgroup.sga_only"
"f1.42","PWID",-0.794274829675285,0.281794564885865,Inf,-1.34658202789072,-0.241967631459854,"Riskgroup.sga_only"
"f2.12","HSX:MTF",-1.3572143595707,0.185906777255391,Inf,-1.72158494747317,-0.992843771668222,"Reported Exposure.sga_only"
"f2.22","HSX:FTM",-1.55858688655752,0.250473652775694,Inf,-2.04950622507407,-1.06766754804097,"Reported Exposure.sga_only"
"f2.32","HSX:nodirection",-0.621063362868738,0.580347812025933,Inf,-1.75852417294619,0.516397447208712,"Reported Exposure.sga_only"
"f2.42","MSM",-0.87783586302643,0.14492170085508,Inf,-1.16187717728067,-0.593794548772186,"Reported Exposure.sga_only"
"f2.52","MTC:IntraP",-0.948676369516307,0.868651887604285,Inf,-2.65120278432344,0.753850045290826,"Reported Exposure.sga_only"
"f2.62","MTC:notiming",-2.04942602360846,0.548931876122371,Inf,-3.12531273077431,-0.97353931644261,"Reported Exposure.sga_only"
"f2.72","MTC:PreP",0.0403134928461251,1.45205777806292,Inf,-2.80566745562845,2.8862944413207,"Reported Exposure.sga_only"
"f2.82","PWID",-0.792599179942918,0.29169591483807,Inf,-1.364312667463,-0.220885692422838,"Reported Exposure.sga_only"
"f3.12","haplotype",-1.09356738993888,0.137914641193714,Inf,-1.36387511961933,-0.823259660258439,"Grouped Method.sga_only"
"f3.22","distance",-0.999419608322437,0.284797464962945,Inf,-1.55761238253812,-0.441226834106757,"Grouped Method.sga_only"
"f3.32","model",-2.32019317488809,1.07072398819112,Inf,-4.41877362912577,-0.221612720650409,"Grouped Method.sga_only"
"f3.42","phylogenetic:R",-1.10937983288922,0.176291337292992,Inf,-1.45490450476989,-0.763855161008557,"Grouped Method.sga_only"
"f3.52","phylogenetic:S&R",-1.60668471703909,0.35440370874319,Inf,-2.30130322216317,-0.912066211915019,"Grouped Method.sga_only"
"f4.12","env",-1.05272918018636,0.103324232896982,Inf,-1.25524095539467,-0.850217404978049,"Sequencing Gene.sga_only"
"f4.22","pol",-16.5715497464834,256.000010320665,Inf,-518.32235001687,485.179250523903,"Sequencing Gene.sga_only"
"f4.32","whole.genome",-1.62609787509019,0.305880714119135,Inf,-2.22561305832909,-1.02658269185129,"Sequencing Gene.sga_only"
"f5.12","NFLG",-1.57086773321932,0.264307010246681,Inf,-2.08889995416427,-1.05283551227437,"Alignment Bin.sga_only"
"f5.22","0-250",16.5917063308326,3942.14544889467,Inf,-7709.8713953212,7743.05480798287,"Alignment Bin.sga_only"
"f5.32","1001-2000",-0.9742336355422,0.151931394590581,Inf,-1.27201369706068,-0.676453574023718,"Alignment Bin.sga_only"
"f5.42","2001-4000",-1.15436833613054,0.117945963088793,Inf,-1.38553817590646,-0.923198496354612,"Alignment Bin.sga_only"
"f5.52","251-500",-0.257259747305157,0.561481390347861,Inf,-1.35774305037644,0.843223555766125,"Alignment Bin.sga_only"
"f5.62","4001-8000",-0.430021460156406,0.376153560345458,Inf,-1.16726889109002,0.307225970777206,"Alignment Bin.sga_only"
"f5.72","501-1000",-16.5354034789837,1017.950084225,Inf,-2011.68090661949,1978.61009966153,"Alignment Bin.sga_only"
"f6.12","<21",-1.05531407372647,0.177521697494982,Inf,-1.40325020729105,-0.707377940161894,"Sampling Delay.sga_only"
"f6.22",">21",-1.1200550938277,0.131314653134204,Inf,-1.37742708461311,-0.86268310304229,"Sampling Delay.sga_only"
"f6.32","unknown",-1.39942242674534,0.246273567885668,Inf,-1.88210975014543,-0.916735103345256,"Sampling Delay.sga_only"
"f1.13","HSX",-1.24264977487151,0.214485045664357,Inf,-1.66303273959608,-0.822266810146944,"Riskgroup.noextremegenomes"
"f1.23","MSM",-1.14928261594389,0.250341586187805,Inf,-1.63994310870462,-0.658622123183167,"Riskgroup.noextremegenomes"
"f1.33","MTC",-1.28355136872688,0.406335539734279,Inf,-2.07995439224471,-0.487148345209049,"Riskgroup.noextremegenomes"
"f1.43","PWID",-0.718091453078008,0.359059175084871,Inf,-1.42183450456302,-0.0143484015929997,"Riskgroup.noextremegenomes"
"f2.13","HSX:MTF",-1.20261341410621,0.204705857767423,Inf,-1.60382952275474,-0.801397305457682,"Reported Exposure.noextremegenomes"
"f2.23","HSX:FTM",-1.06051425016297,0.262577813858622,Inf,-1.57515730846513,-0.545871191860811,"Reported Exposure.noextremegenomes"
"f2.33","HSX:nodirection",-17.4396104340376,2901.92874574325,Inf,-5705.11543779229,5670.23621692422,"Reported Exposure.noextremegenomes"
"f2.43","MSM",-1.12857481366659,0.229601456526448,Inf,-1.57858539925637,-0.678564228076815,"Reported Exposure.noextremegenomes"
"f2.53","MTC:IntraP",-1.55153012055615,0.672487053540385,Inf,-2.86958052556476,-0.233479715547536,"Reported Exposure.noextremegenomes"
"f2.63","MTC:notiming",-1.47896672875535,0.55436343031823,Inf,-2.56549908652516,-0.392434370985537,"Reported Exposure.noextremegenomes"
"f2.73","MTC:PreP",-0.185039976637426,0.749477076685859,Inf,-1.65398805418007,1.28390810090522,"Reported Exposure.noextremegenomes"
"f2.83","PWID",-0.731132946063433,0.315621884595935,Inf,-1.34974047260412,-0.112525419522743,"Reported Exposure.noextremegenomes"
"f3.13","haplotype",-1.11607768320909,0.156464585914658,Inf,-1.42274263645779,-0.809412729960387,"Grouped Method.noextremegenomes"
"f3.23","distance",-0.489321259971386,0.337704246651403,Inf,-1.15120942083437,0.172566900891594,"Grouped Method.noextremegenomes"
"f3.33","model",-17.5763305323434,512.000073281849,Inf,-1021.07803424664,985.92537318195,"Grouped Method.noextremegenomes"
"f3.43","phylogenetic:R",-0.967719132537119,0.241136564929122,Inf,-1.4403381151539,-0.495100149920336,"Grouped Method.noextremegenomes"
"f3.53","phylogenetic:S&R",-1.57445609722658,0.407181350263842,Inf,-2.3725168789201,-0.776395315533058,"Grouped Method.noextremegenomes"
"f4.13","env",-1.13769404111033,0.158478192440203,Inf,-1.44830559062813,-0.827082491592522,"Sequencing Gene.noextremegenomes"
"f4.23","gag",-1.21011966882218,0.71969855373668,Inf,-2.62070291387164,0.200463576227278,"Sequencing Gene.noextremegenomes"
"f4.33","whole.genome",-1.20934398659715,0.559277331612023,Inf,-2.30550741392638,-0.113180559267918,"Sequencing Gene.noextremegenomes"
"f5.13","NFLG",-1.21608832222224,0.530200559844856,Inf,-2.25526232410113,-0.176914320343346,"Alignment Bin.noextremegenomes"
"f5.23","1001-2000",-0.844839667984065,0.206664201789981,Inf,-1.24989406038615,-0.439785275581985,"Alignment Bin.noextremegenomes"
"f5.33","2001-4000",-1.15612109763689,0.167583003607868,Inf,-1.48457774912935,-0.82766444614442,"Alignment Bin.noextremegenomes"
"f5.43","251-500",-1.78961504026716,1.09711653849489,Inf,-3.9399239425604,0.360693862026071,"Alignment Bin.noextremegenomes"
"f5.53","501-1000",-2.37971378480573,0.75582810801174,Inf,-3.86110965501179,-0.898317914599673,"Alignment Bin.noextremegenomes"
"f6.13","<21",-0.984141780965509,0.215762940932899,Inf,-1.40702937439243,-0.561254187538585,"Sampling Delay.noextremegenomes"
"f6.23",">21",-1.14587828997551,0.170886017499167,Inf,-1.48080872973536,-0.810947850215663,"Sampling Delay.noextremegenomes"
"f6.33","unknown",-1.60012675462364,0.441120386772902,Inf,-2.46470682554491,-0.735546683702379,"Sampling Delay.noextremegenomes"
"f1.14","HSX",-1.39729402667681,0.188947913388027,Inf,-1.76762513187134,-1.02696292148228,"Riskgroup.nosmallgenomes"
"f1.24","MSM",-1.12008340062367,0.204519052143057,Inf,-1.52093337697633,-0.719233424271007,"Riskgroup.nosmallgenomes"
"f1.34","MTC",-1.3719322671542,0.341027436111046,Inf,-2.04033375967188,-0.703530774636512,"Riskgroup.nosmallgenomes"
"f1.44","PWID",-0.793700124633526,0.352780627004272,Inf,-1.48513744800536,-0.102262801261695,"Riskgroup.nosmallgenomes"
"f2.14","HSX:MTF",-1.33505587008137,0.209363492329977,Inf,-1.74540077472566,-0.924710965437091,"Reported Exposure.nosmallgenomes"
"f2.24","HSX:FTM",-1.51157743827361,0.270488078530264,Inf,-2.04172433044037,-0.981430546106848,"Reported Exposure.nosmallgenomes"
"f2.34","HSX:nodirection",-0.829182325558796,0.728932903940071,Inf,-2.25786456442753,0.599499913309938,"Reported Exposure.nosmallgenomes"
"f2.44","MSM",-1.11206510106834,0.198615978589208,Inf,-1.50134526585737,-0.722784936279314,"Reported Exposure.nosmallgenomes"
"f2.54","MTC:IntraP",-1.3557805601044,0.616236010448141,Inf,-2.5635809465594,-0.147980173649395,"Reported Exposure.nosmallgenomes"
"f2.64","MTC:notiming",-1.77515257062587,0.479092075523583,Inf,-2.71415578393063,-0.836149357321101,"Reported Exposure.nosmallgenomes"
"f2.74","MTC:PreP",-0.374919117797825,0.672104086939023,Inf,-1.69221892206049,0.942380686464838,"Reported Exposure.nosmallgenomes"
"f2.84","PWID",-0.795969787556351,0.339721212703063,Inf,-1.46181112923863,-0.130128445874077,"Reported Exposure.nosmallgenomes"
"f3.14","haplotype",-1.16331718969717,0.154136086515155,Inf,-1.46541836798483,-0.861216011409518,"Grouped Method.nosmallgenomes"
"f3.24","distance",-0.77954369827018,0.318610661862476,Inf,-1.4040091206111,-0.155078275929257,"Grouped Method.nosmallgenomes"
"f3.34","model",-2.23260987403969,1.10357283489862,Inf,-4.39557288475775,-0.0696468633216307,"Grouped Method.nosmallgenomes"
"f3.44","molecular",-14.5611118294042,1026.57461246741,Inf,-2026.61037970869,1997.48815604988,"Grouped Method.nosmallgenomes"
"f3.54","phylogenetic:R",-1.21545732968191,0.223628342857908,Inf,-1.65376082760578,-0.777153831758032,"Grouped Method.nosmallgenomes"
"f3.62","phylogenetic:S&R",-1.69517933762923,0.333459904643131,Inf,-2.34874874101793,-1.04160993424054,"Grouped Method.nosmallgenomes"
"f4.14","env",-1.09867217961302,0.111451091127831,Inf,-1.31711230426126,-0.880232054964781,"Sequencing Gene.nosmallgenomes"
"f4.24","gag",-0.886466620340868,0.74646549732078,Inf,-2.34951211079138,0.57657887010964,"Sequencing Gene.nosmallgenomes"
"f4.34","pol",-16.5688494356423,1194.49312668422,Inf,-2357.73235751736,2324.59465864608,"Sequencing Gene.nosmallgenomes"
"f4.42","whole.genome",-1.94066321608376,0.36730844419442,Inf,-2.66057453792227,-1.22075189424526,"Sequencing Gene.nosmallgenomes"
"f5.14","NFLG",-1.93664457876106,0.361825360930252,Inf,-2.64580925487756,-1.22747990264456,"Alignment Bin.nosmallgenomes"
"f5.24","0-250",15.6823796419654,181.020084374767,Inf,-339.110466210979,370.47522549491,"Alignment Bin.nosmallgenomes"
"f5.34","1001-2000",-0.958423844149402,0.185341735746108,Inf,-1.32168697104391,-0.595160717254891,"Alignment Bin.nosmallgenomes"
"f5.44","2001-4000",-1.14235668888488,0.145449187867923,Inf,-1.42743185868661,-0.857281519083147,"Alignment Bin.nosmallgenomes"
"f5.54","251-500",-1.11706423647904,0.597953152286068,Inf,-2.28903087940193,0.0549024064438486,"Alignment Bin.nosmallgenomes"
"f5.63","501-1000",-2.61540544110579,0.74711839584685,Inf,-4.07973058915296,-1.15108029305863,"Alignment Bin.nosmallgenomes"
"f6.14","<21",-1.04574439734705,0.193894341136177,Inf,-1.42577032278008,-0.665718471914023,"Sampling Delay.nosmallgenomes"
"f6.24",">21",-1.15808721478082,0.141393113670712,Inf,-1.4352126252374,-0.88096180432425,"Sampling Delay.nosmallgenomes"
"f6.34","unknown",-1.78802198772781,0.305052896153339,Inf,-2.38591467756799,-1.19012929788763,"Sampling Delay.nosmallgenomes"
"f1.15","HSX",-1.26009948584697,0.168038918463981,Inf,-1.58944971403743,-0.930749257656501,"Riskgroup.nolargegenomes"
"f1.25","MSM",-0.846186111321351,0.168862558618528,Inf,-1.17715064455095,-0.515221578091753,"Riskgroup.nolargegenomes"
"f1.35","MTC",-1.11492200287976,0.307991817830381,Inf,-1.71857487336033,-0.511269132399196,"Riskgroup.nolargegenomes"
"f1.45","PWID",-0.725866795491678,0.302923429667826,Inf,-1.31958580771397,-0.132147783269387,"Riskgroup.nolargegenomes"
"f2.15","HSX:MTF",-1.21693784424342,0.18665930846545,Inf,-1.58278336621486,-0.851092322271988,"Reported Exposure.nolargegenomes"
"f2.25","HSX:FTM",-1.33328756360723,0.260569683748971,Inf,-1.8439947592182,-0.822580367996253,"Reported Exposure.nolargegenomes"
"f2.35","HSX:nodirection",-1.18103185398157,0.829905981551261,Inf,-2.8076176883764,0.445553980413265,"Reported Exposure.nolargegenomes"
"f2.45","MSM",-0.843210997256375,0.166668031604606,Inf,-1.16987433657559,-0.516547657937165,"Reported Exposure.nolargegenomes"
"f2.55","MTC:IntraP",-1.33587413196565,0.532011383560838,Inf,-2.37859728311022,-0.293150980821084,"Reported Exposure.nolargegenomes"
"f2.65","MTC:notiming",-1.07928645230938,0.512294789196165,Inf,-2.0833657886014,-0.0752071160173573,"Reported Exposure.nolargegenomes"
"f2.75","MTC:PostP",-1.52627413688547,0.8345414022073,Inf,-3.16194522881933,0.109396955048393,"Reported Exposure.nolargegenomes"
"f2.85","MTC:PreP",-0.326862625551163,0.716372071875002,Inf,-1.73092608595651,1.07720083485418,"Reported Exposure.nolargegenomes"
"f2.92","PWID",-0.727453366060079,0.298656096391336,Inf,-1.31280855875042,-0.142098173369739,"Reported Exposure.nolargegenomes"
"f3.15","haplotype",-1.01937504407423,0.147488405070199,Inf,-1.30844700614908,-0.730303081999385,"Grouped Method.nolargegenomes"
"f3.25","distance",-0.954118769504436,0.295256315287741,Inf,-1.53281051367641,-0.375427025332461,"Grouped Method.nolargegenomes"
"f3.35","model",-16.5780699666407,1326.66397765741,Inf,-2616.79168576182,2583.63554582854,"Grouped Method.nolargegenomes"
"f3.45","molecular",16.5517602581182,3927.97851355773,Inf,-7682.14465836221,7715.24817887845,"Grouped Method.nolargegenomes"
"f3.55","phylogenetic:R",-0.906371236041253,0.182346652854888,Inf,-1.26376410833826,-0.548978363744246,"Grouped Method.nolargegenomes"
"f3.63","phylogenetic:S&R",-1.36179917997647,0.271685126933103,Inf,-1.89429224390055,-0.829306116052398,"Grouped Method.nolargegenomes"
"f4.15","env",-1.06643345939306,0.124804950315282,Inf,-1.31104666710333,-0.821820251682799,"Sequencing Gene.nolargegenomes"
"f4.25","gag",-0.769235715613706,0.567045039187747,Inf,-1.88062357003379,0.342152138806381,"Sequencing Gene.nolargegenomes"
"f4.35","whole.genome",-1.12067588035945,0.383458174311083,Inf,-1.87224009158666,-0.369111669132249,"Sequencing Gene.nolargegenomes"
"f5.15","NFLG",-0.998528504212364,0.312641223743566,Inf,-1.61129404283228,-0.385762965592446,"Alignment Bin.nolargegenomes"
"f5.25","1001-2000",-0.836247965018229,0.135557886023526,Inf,-1.10193653944473,-0.570559390591733,"Alignment Bin.nolargegenomes"
"f5.35","2001-4000",-1.13538125318425,0.121844717759509,Inf,-1.37419251169934,-0.896569994669167,"Alignment Bin.nolargegenomes"
"f5.45","251-500",-0.336472739918639,0.585538767399582,Inf,-1.4841076355738,0.811162155736518,"Alignment Bin.nolargegenomes"
"f5.55","4001-8000",-0.42744427055168,0.331877657057649,Inf,-1.07791252565821,0.223023984554847,"Alignment Bin.nolargegenomes"
"f5.64","501-1000",-1.88706755920063,0.479905481105759,Inf,-2.82766501815128,-0.946470100249971,"Alignment Bin.nolargegenomes"
"f6.15","<21",-1.05959589849952,0.179307648643642,Inf,-1.41103243199362,-0.708159365005422,"Sampling Delay.nolargegenomes"
"f6.25",">21",-1.06796602255157,0.146317438844564,Inf,-1.35474293299705,-0.781189112106079,"Sampling Delay.nolargegenomes"
"f6.35","unknown",-0.995726960849556,0.281806121233495,Inf,-1.54805680909013,-0.443397112608978,"Sampling Delay.nolargegenomes"
