"","covariate_level","emmean","SE","df","asymp.LCL","asymp.UCL","label","data"
"sing.22","distance",-1.34119627620342,0.313115127111076,Inf,-1.95489064835581,-0.727501904051032,"Grouped Method.reps","sing"
"sing.32","model",-1.7078169605376,0.546638335168648,Inf,-2.77920841003709,-0.636425511038116,"Grouped Method.reps","sing"
"sing.42","molecular",-0.411547413576531,0.234514248740779,Inf,-0.871186894969925,0.0480920678168638,"Grouped Method.reps","sing"
"sing.51","phylogenetic:R",-1.39407536976065,0.209564711041813,Inf,-1.80481465583315,-0.983336083688156,"Grouped Method.reps","sing"
"sing.61","phylogenetic:S&R",-1.17434356660558,0.256686771915508,Inf,-1.67744039486782,-0.671246738343336,"Grouped Method.reps","sing"
"rep.12","haplotype",-0.984390768427775,0.145638341909408,Inf,-1.26983667333834,-0.698944863517205,"Grouped Method.reps","rep"
"rep.22","distance",-1.39873104184549,0.163749397925702,Inf,-1.71967396426998,-1.077788119421,"Grouped Method.reps","rep"
"rep.32","model",-1.30021336085525,0.178206716450072,Inf,-1.64949210690053,-0.950934614809968,"Grouped Method.reps","rep"
"rep.42","molecular",-0.377033168115399,0.230465901752381,Inf,-0.828738035214612,0.0746716989838137,"Grouped Method.reps","rep"
"rep.51","phylogenetic:R",-1.25552769404602,0.140917886470511,Inf,-1.53172167630573,-0.979333711786315,"Grouped Method.reps","rep"
"rep.61","phylogenetic:S&R",-1.10823989195547,0.224242586862628,Inf,-1.54774728600631,-0.668732497904624,"Grouped Method.reps","rep"
"sing.13","env",-0.954875787218538,0.111347141499879,Inf,-1.17311217433979,-0.736639400097291,"Sequencing Gene.reps","sing"
"sing.23","gag",-0.831979222834578,0.671076888266697,Inf,-2.14726575469451,0.483307309025359,"Sequencing Gene.reps","sing"
"sing.33","pol",-2.13986068551003,0.858648669878699,Inf,-3.8227811538455,-0.456940217174554,"Sequencing Gene.reps","sing"
"sing.43","whole.genome",-1.92698551291534,0.290082087328544,Inf,-2.49553595663949,-1.35843506919119,"Sequencing Gene.reps","sing"
"rep.13","env",-0.946733947586679,0.0970845084587293,Inf,-1.13701608762256,-0.756451807550796,"Sequencing Gene.reps","rep"
"rep.23","gag",-0.832485190144319,0.669461151880333,Inf,-2.14460493687847,0.479634556589832,"Sequencing Gene.reps","rep"
"rep.33","pol",-2.13917988779989,0.857601442987765,Inf,-3.82004782914549,-0.458311946454294,"Sequencing Gene.reps","rep"
"rep.43","whole.genome",-1.89120208160724,0.24486958746255,Inf,-2.37113765394302,-1.41126650927146,"Sequencing Gene.reps","rep"
"sing.14","NFLG",-1.90882837943831,0.272878954423173,Inf,-2.44366130224668,-1.37399545662995,"Alignment Bin.reps","sing"
"sing.24","0-250",-0.884468665018131,0.600975395142661,Inf,-2.06235879509247,0.293421465056213,"Alignment Bin.reps","sing"
"sing.34","1001-2000",-0.835213790557056,0.166323528769182,Inf,-1.16120191672626,-0.509225664387848,"Alignment Bin.reps","sing"
"sing.44","2001-4000",-1.24940219838249,0.164445595541475,Inf,-1.57170964306002,-0.927094753704954,"Alignment Bin.reps","sing"
"sing.52","251-500",-0.300062848323402,0.267632752324493,Inf,-0.824613403962736,0.224487707315933,"Alignment Bin.reps","sing"
"sing.62","4001-8000",-0.435552335786388,0.600234150827834,Inf,-1.61198965369993,0.74088498212715,"Alignment Bin.reps","sing"
"sing.71","501-1000",-1.24432575703843,0.28762222667544,Inf,-1.80805496247551,-0.680596551601353,"Alignment Bin.reps","sing"
"rep.14","NFLG",-1.88253886669447,0.235168355837564,Inf,-2.3434603744396,-1.42161735894935,"Alignment Bin.reps","rep"
"rep.24","",-1.02555728293618,0.464091228847372,Inf,-1.93515937701797,-0.115955188854397,"Alignment Bin.reps","rep"
"rep.34","0-250",-0.90335316665894,0.603209560845186,Inf,-2.08562218104573,0.278915847727847,"Alignment Bin.reps","rep"
"rep.44","1001-2000",-0.905370440681622,0.151524514445459,Inf,-1.20235303176964,-0.608387849593604,"Alignment Bin.reps","rep"
"rep.52","2001-4000",-1.10417074892731,0.130278746069544,Inf,-1.35951239917466,-0.848829098679968,"Alignment Bin.reps","rep"
"rep.62","251-500",-0.429455514900106,0.260374590050643,Inf,-0.939780333888748,0.0808693040885354,"Alignment Bin.reps","rep"
"rep.71","4001-8000",-0.435751037957075,0.606772209801725,Inf,-1.62500271598824,0.753500640074087,"Alignment Bin.reps","rep"
"rep.81","501-1000",-1.12298136924066,0.248690950872783,Inf,-1.61040667623233,-0.635556062248984,"Alignment Bin.reps","rep"
"sing.15","<21",-1.23555007705884,0.17350932686213,Inf,-1.5756221086904,-0.895478045427274,"Sampling Delay.reps","sing"
"sing.25",">21",-1.1449827714093,0.139250716588705,Inf,-1.41790916074456,-0.872056382074046,"Sampling Delay.reps","sing"
"sing.35","unknown",-0.884666114631954,0.223250409008373,Inf,-1.3222288758222,-0.447103353441706,"Sampling Delay.reps","sing"
"rep.15","<21",-1.19495206880215,0.128059105273374,Inf,-1.44594330303038,-0.943960834573909,"Sampling Delay.reps","rep"
"rep.25",">21",-1.03172286368723,0.11565623346699,Inf,-1.25840491587009,-0.805040811504376,"Sampling Delay.reps","rep"
"rep.35","unknown",-1.09141168998762,0.175237289343423,Inf,-1.43487046584916,-0.747952914126091,"Sampling Delay.reps","rep"
